m2,price
109.08309,17356.85
255.38683,25337.154
948.73926,51371.336
233.12321,16952.145
1031.4326,60937.42
691.1175,47212.785
697.4785,45983.227
458.93982,34778.305
376.24643,28299.97
885.12897,52037.934
1142.7507,70743.53
306.2751,26070.209
805.616,52656.613
509.8281,40584.414
382.60745,40346.04
522.5502,31103.945
513.0086,32914.906
1104.5845,74199.9
783.3524,57247.6
840.60175,57316.43
878.7679,52807.88
977.3639,62852.2
207.67908,14104.014
417.5931,30158.943
567.0774,37297.293
172.6934,21260.697
137.70773,17245.188
373.0659,35860.68
331.7192,30560.928
646.5903,46304.86
293.553,18932.531
280.83093,21286.11
261.74786,27853.547
452.5788,33089.42
264.92838,28025.414
408.05157,27176.47
764.26935,48977.008
713.3811,51100.75
338.08023,20781.273
153.61032,15856.735
980.54443,64112.844
659.3123,48486.332
719.7421,53853.42
1184.0974,69666.29
1037.7937,59817.516
414.4126,32247.975
411.2321,39194.13
738.8252,41867.105
630.6877,44656.152
449.3983,31547.203
516.1891,27172.768
1200.0,69472.38
1165.0143,69439.13
112.26361,14661.057
296.73352,27591.791
745.1862,52517.39
576.6189,38073.15
910.57306,58325.855
325.35815,25658.273
277.65042,28324.04
897.851,58248.168
1152.2922,64495.855
268.1089,22503.055
869.2264,55000.887
547.99426,37636.023
427.13467,28019.7
592.5215,39707.453
471.6619,32704.678
786.53296,58205.004
290.3725,26308.355
929.6562,56471.543
850.14325,54820.203
1056.8768,63454.035
156.79083,18455.615
519.3696,40393.758
1072.7794,70844.68
245.84528,18426.566
986.90546,57710.22
1009.16907,63340.484
633.8682,39720.914
799.255,52457.637
742.00574,50522.215
999.6275,68034.69
159.97134,18144.184
920.1146,54090.41
846.96277,57550.4
535.2722,43037.65
808.7966,56212.01
299.91403,29091.266
490.745,35906.582
128.16618,21553.621
792.894,53973.598
1095.043,68746.91
990.08594,59807.027
891.49,58427.02
144.06877,20720.045
621.1461,41477.91
478.02292,36999.21
967.8223,65667.664
780.17194,51576.844
1174.5559,65893.5
541.63324,36330.312
1060.0573,62677.793
955.1003,58652.332
1053.6963,63747.95
617.96564,42135.668
1002.80804,64352.93
538.4527,37109.094
347.62177,33461.78
93.18052,15701.509
605.2435,45989.57
115.44412,18891.904
894.6705,57849.906
818.33813,53996.523
551.1748,38437.316
951.9198,57438.17
484.38394,31589.777
694.298,48984.062
916.9341,55776.63
843.7822,54210.28
1066.4183,59049.848
105.90258,10827.305
194.95702,23412.05
1136.3896,72275.695
1085.5015,58400.574
198.13754,17282.146
649.77075,47061.797
398.51004,34257.316
360.34384,32452.566
722.9226,51556.34
554.3553,38258.992
1177.7365,69918.74
640.22925,43013.63
586.16046,33935.746
433.4957,36449.88
236.30373,28424.512
974.1834,65223.547
624.32666,42145.4
322.17764,29669.256
525.73065,40090.27
1145.9313,74196.05
1168.1948,69970.21
681.5759,42136.754
182.23495,20160.06
821.5186,51208.55
1101.404,68207.32
175.87393,21722.42
770.6304,57462.402
611.6046,42517.5
595.702,44266.535
528.9112,35709.516
1107.765,66497.83
1133.2092,59182.11
815.1576,50480.633
834.24066,49827.617
201.31805,25190.695
767.4498,49438.625
726.10315,45910.543
776.9914,52332.87
773.8109,53428.55
229.94269,22261.082
665.67334,46832.79
500.28653,40787.37
385.78796,27049.336
443.03726,38462.836
827.87964,56869.836
751.5473,48837.15
147.24928,28399.7
853.3238,53085.273
341.26074,37321.008
1021.8911,68286.64
315.81662,16700.459
757.9083,44109.277
1025.0717,74038.48
1158.6533,68886.086
872.40686,57450.008
598.8825,44737.953
831.0602,54660.496
602.06305,42118.234
353.98282,35844.65
1193.6389,61445.21
465.30087,35018.54
1190.4585,75835.71
1130.0287,74150.74
439.85672,33458.03
563.89685,41593.46
589.341,39555.152
573.4384,46130.047
140.88824,18976.33
789.71344,55203.695
328.5387,26863.121
436.6762,33195.516
901.0315,65135.75
837.4212,55130.33
532.0917,45242.79
881.9484,55655.863
102.72206,19696.629
395.3295,32157.375
856.5043,50187.53
